faction,rank,kind,detachments,dp_cost,score_prudent,score_central,score_favorable,primary,secondary,inventory,rule_stratagem,enhancement,flexibility,interpretation_coverage_pct,evidence_confidence_pct,inference_share_pct,conditionality_pct,inference_count,unsupported_count
Salamanders,61,combination,LIBRARIUS CONCLAVE + VANGUARD SPEARHEAD,3,72.57,80.95,81.77,100,99.04,88.52,37.26,64.1,92.54,76.47,77.5,10.35,36.3,24,4
Salamanders,62,combination,FULGURIS TASK FORCE + LIBRARIUS CONCLAVE,2,70.43,78.44,79.44,99.2,97.21,88.01,45.33,30.42,91.74,75,77,10.21,31.63,20,3
Salamanders,63,single,LIBRARIUS CONCLAVE,1,63.58,70.39,72.02,94.33,95.63,73.57,16.53,58.18,75.48,83.33,80,9.67,31.84,9,1
Dark Angels,1,single,INNER CIRCLE TASK FORCE,2,87.31,94.71,95.51,100,96.85,100,85.29,84.91,98.87,100,76.67,7.81,36.46,18,0
Dark Angels,2,single,FIRESTORM ASSAULT FORCE,2,87.07,94.07,95.44,99.54,96.14,99.16,81.57,89.82,100,100,76.67,7.44,36.56,18,0
Dark Angels,3,combination,INNER CIRCLE TASK FORCE + VENGEFUL HOSTS,3,86.88,93.41,94.11,100,97,100,80.96,79.84,99.67,82.35,77.14,6.99,36.11,21,3
Dark Angels,4,single,IRONSTORM SPEARHEAD,2,86.99,93.13,94.78,98.66,95.55,98.45,81.41,87.09,96.67,81.82,76.25,6.59,33.46,16,2
Dark Angels,5,combination,FIRESTORM ASSAULT FORCE + VENGEFUL HOSTS,3,86.76,93.04,94.26,100,96.55,99.27,79.12,82.2,100,82.35,77.14,6.75,36.2,21,3
Dark Angels,6,single,UNFORGIVEN TASK FORCE,2,86.26,92.65,94.57,98.1,97.58,99.6,73.88,90.28,98.31,90.91,76.47,6.9,46.75,17,1
Dark Angels,7,combination,UNFORGIVEN TASK FORCE + VENGEFUL HOSTS,3,86.56,92.62,93.93,100,98.02,99.89,75.03,81.72,99.11,76.47,77,6.54,45,20,4
Dark Angels,8,combination,INNER CIRCLE TASK FORCE + SUBVERSION ASSETS,3,84.67,92.58,93.39,100,98.54,97.12,81.97,75.38,91.76,70.59,77.86,8.54,30.56,28,5
Dark Angels,9,combination,FIRESTORM ASSAULT FORCE + SUBVERSION ASSETS,3,84.55,92.53,93.59,100,99.27,96.5,80.11,77.67,92.56,70.59,77.86,8.62,30.63,28,5
Dark Angels,10,combination,IRONSTORM SPEARHEAD + VENGEFUL HOSTS,3,86.83,92.42,93.8,100,95.82,98.63,79.03,80.61,97.47,70.59,76.84,6.05,33.44,19,5
Dark Angels,11,combination,SUBVERSION ASSETS + UNFORGIVEN TASK FORCE,3,84.16,92.06,92.92,100,99.99,97.26,76.25,76.71,93.8,64.71,77.78,8.58,36.25,27,6
Dark Angels,12,combination,ANVIL SIEGE FORCE + VENGEFUL HOSTS,3,86.1,92.04,93.51,100,97.05,99.21,78.38,73.23,98.75,76.47,77,6.45,40.73,20,4
Dark Angels,13,combination,IRONSTORM SPEARHEAD + SUBVERSION ASSETS,3,84.53,91.95,93.3,100,98.49,95.88,80.07,75.93,90.96,58.82,77.69,8.07,27.86,26,7
Dark Angels,14,single,ANVIL SIEGE FORCE,2,85.53,91.88,93.92,98.79,96.35,98.93,80.26,73.02,97.95,90.91,76.47,6.91,41.79,17,1
Dark Angels,15,single,GLADIUS TASK FORCE,3,85.55,91.86,93.08,99.02,95.64,98.25,73.08,89.63,98.27,72.73,76,6.87,35.95,15,3
Dark Angels,16,combination,BASTION TASK FORCE + VENGEFUL HOSTS,3,85.71,91.79,92.77,100,97.01,98.72,79.7,68.57,100,70.59,76.84,6.62,33.64,19,5
Dark Angels,17,single,ORBITAL ASSAULT FORCE,2,86.36,91.72,92.74,96.03,93.52,97.41,74.41,99.58,96.27,72.73,76,5.84,35.14,15,3
Dark Angels,18,combination,ANVIL SIEGE FORCE + SUBVERSION ASSETS,3,83.8,91.48,92.65,100,99.35,96.48,79.44,68.24,92.64,64.71,77.78,8.4,33.41,27,6
Dark Angels,19,combination,ORBITAL ASSAULT FORCE + VENGEFUL HOSTS,3,86.32,91.44,92.29,99.16,94.13,97.51,75.43,86.77,96.27,64.71,76.67,5.6,34.88,18,6
Dark Angels,20,combination,1ST COMPANY TASK FORCE + VENGEFUL HOSTS,3,85.89,91.35,92.56,100,96.23,98.67,78.92,69.34,96.87,70.59,76.84,5.98,41.77,19,5
Dark Angels,21,combination,INNER CIRCLE TASK FORCE + INTERROGATION CONCLAVE,3,84.11,91.29,91.99,100,97.73,100,70.23,78.09,100,94.12,77.39,7.87,36.61,23,1
Dark Angels,22,combination,BASTION TASK FORCE + SUBVERSION ASSETS,3,83.23,91.23,91.95,100,99.28,96.04,80.8,64.03,92.76,58.82,77.69,8.77,27.9,26,7
Dark Angels,23,combination,ORBITAL ASSAULT FORCE + SUBVERSION ASSETS,3,83.86,91.19,92.1,100,97.11,94.84,76.56,82.02,88.56,52.94,77.6,8.04,28.47,25,8
Dark Angels,24,single,1ST COMPANY TASK FORCE,2,85,91.17,92.55,99.71,95.94,98.38,81.27,65.13,96.07,81.82,76.25,6.77,42.98,16,2
Dark Angels,25,single,BASTION TASK FORCE,2,84.71,91.08,92.66,97.59,95.96,98.56,82.92,62.79,99.87,81.82,76.25,6.99,33.68,16,2
Dark Angels,26,combination,FIRESTORM ASSAULT FORCE + INTERROGATION CONCLAVE,3,83.99,91.03,92.27,99.78,97.39,100,68.4,80.45,100,94.12,77.39,7.73,36.7,23,1
Dark Angels,27,combination,INTERROGATION CONCLAVE + IRONSTORM SPEARHEAD,3,84.1,90.84,91.93,100,97.19,100,68.27,78.86,100,82.35,77.14,7.42,34.15,21,3
Dark Angels,28,combination,COMPANY OF HUNTERS + VENGEFUL HOSTS,3,85.32,90.76,91.63,100,95.63,98.32,71.6,79.96,97.47,64.71,76.67,5.99,33.88,18,6
Dark Angels,29,combination,1ST COMPANY TASK FORCE + SUBVERSION ASSETS,3,83.49,90.72,92.07,100,98.21,95.75,79.98,64.4,91.56,58.82,77.69,7.97,34.17,26,7
Dark Angels,30,combination,INTERROGATION CONCLAVE + UNFORGIVEN TASK FORCE,3,83.73,90.58,91.58,99.73,99.06,100,64.35,79.96,100,88.24,77.27,7.56,45.21,22,2
Dark Angels,31,single,CERAMITE SENTINELS,3,84.01,90.46,91.32,100,95.96,97.82,71.95,75.79,98.67,90.91,76.47,7.13,35.61,17,1
Dark Angels,32,combination,ANVIL SIEGE FORCE + INTERROGATION CONCLAVE,3,83.36,90.23,91.33,100,98.23,100,67.67,71.43,100,88.24,77.27,7.61,41.1,22,2
Dark Angels,33,combination,COMPANY OF HUNTERS + SUBVERSION ASSETS,3,82.91,90.21,91.17,100,98.16,95.57,72.74,75.22,89.76,52.94,77.6,8.09,27.67,25,8
Dark Angels,34,combination,SUBVERSION ASSETS + VENGEFUL HOSTS,2,83.43,90.16,91.03,100,97.3,94.71,77.73,69.2,88.56,33.33,77,7.46,25.64,20,8
Dark Angels,35,combination,INTERROGATION CONCLAVE + SUBVERSION ASSETS + VENGEFUL HOSTS,3,82.94,89.89,90.99,100,98.56,97.66,70.25,69.18,94.93,50,77.6,7.73,27.36,25,9
Dark Angels,36,single,COMPANY OF HUNTERS,2,83.97,89.85,91.1,98.66,94.68,98.11,66.77,85.97,97.47,72.73,76,6.54,33.97,15,3
Dark Angels,37,single,STORMLANCE TASK FORCE,3,83.25,89.84,91.33,98.73,95.53,99.12,61.83,90.2,100,90.91,76.47,7.34,32.82,17,1
Dark Angels,38,combination,1ST COMPANY TASK FORCE + INTERROGATION CONCLAVE,3,83.07,89.74,90.63,100,97.47,100,68.2,67.53,99.67,82.35,77.14,7.43,42.1,21,3
Dark Angels,39,combination,HEADHUNTER TASK FORCE + VENGEFUL HOSTS,3,84.62,89.72,90.51,99.95,94.71,97.51,68.05,81.46,95.87,64.71,76.67,5.68,33.84,18,6
Dark Angels,40,combination,FULGURIS TASK FORCE + INNER CIRCLE TASK FORCE,3,82.64,89.61,90.31,100,96.87,100,79.85,44.43,99.67,88.24,77.27,7.78,35.45,22,2
Dark Angels,41,single,WRATH OF THE ROCK,3,82.2,89.6,90.24,100,97.81,100,55.93,89.65,100,81.82,76.25,8.26,30,16,2
Dark Angels,42,combination,BASTION TASK FORCE + INTERROGATION CONCLAVE,3,82.8,89.54,90.57,99.08,97,100,68.98,66.76,100,82.35,77.14,7.53,34.35,21,3
Dark Angels,43,combination,HEADHUNTER TASK FORCE + SUBVERSION ASSETS,3,82.33,89.47,90.26,100,97.91,94.9,69.15,77.51,88.56,52.94,77.6,7.98,27.95,25,8
Dark Angels,44,combination,INTERROGATION CONCLAVE + ORBITAL ASSAULT FORCE,3,83.42,89.44,90.67,97.56,94.97,98.97,64.7,84.96,99.07,76.47,77,6.73,35.58,20,4
Dark Angels,45,single,VENGEFUL HOSTS,1,84.79,89.41,90.82,96.31,93.48,96.92,76.55,73.95,93.87,50,74,5.17,32.83,10,3
Dark Angels,46,combination,LION’S BLADE TASK FORCE + VENGEFUL HOSTS,3,84.17,89.37,90.5,100,95.54,97.98,65.93,79.4,95.23,70.59,76.84,5.82,39.78,19,5
Dark Angels,47,single,ARMOURED SPEARTIP,3,83.01,89.29,90.23,99.96,94.83,97.79,61.81,88.53,96.27,100,76.67,7.03,39.89,18,0
Dark Angels,48,combination,VANGUARD SPEARHEAD + VENGEFUL HOSTS,3,83.54,89.27,90.27,100,95.87,98.47,67.31,72.12,98.67,64.71,76.67,6.42,37.93,18,6
Dark Angels,49,combination,FIRESTORM ASSAULT FORCE + FULGURIS TASK FORCE,3,82.52,89.14,90.37,99.92,96.14,99.16,78.03,46.79,100,88.24,77.27,7.43,35.55,22,2
Dark Angels,50,combination,COMPANY OF HUNTERS + INTERROGATION CONCLAVE,3,82.43,88.99,90.06,99.8,96.43,99.67,60.88,78.15,100,76.47,77,7.37,34.64,20,4
Dark Angels,51,combination,DARK AGE ARSENAL + INNER CIRCLE TASK FORCE,3,81.92,88.74,89.74,97.35,96.21,99.3,65.62,73.87,96.87,70.59,77.89,7.69,35,19,5
Dark Angels,52,combination,LION’S BLADE TASK FORCE + SUBVERSION ASSETS,3,81.85,88.71,90.08,100,97.33,95.13,67.08,74.77,89.12,58.82,77.69,7.73,32.5,26,7
Dark Angels,53,combination,SUBVERSION ASSETS + VANGUARD SPEARHEAD,3,81.26,88.69,89.78,100,98.28,95.68,68.48,67.37,90.96,52.94,77.6,8.38,30.59,25,8
Dark Angels,54,combination,FULGURIS TASK FORCE + UNFORGIVEN TASK FORCE,3,82.17,88.59,90.11,99.19,97.78,99.67,73.96,46.3,99.11,82.35,77.14,7.25,44.04,21,3
Dark Angels,55,combination,FULGURIS TASK FORCE + IRONSTORM SPEARHEAD,3,82.54,88.53,89.86,99.67,95.64,98.52,77.92,45.2,97.47,76.47,77,6.77,32.72,20,4
Dark Angels,56,combination,INTERROGATION CONCLAVE + VENGEFUL HOSTS,2,83,88.48,89.88,98.45,95.44,98.62,65.72,71.84,97.47,66.67,76,6.19,34.03,15,4
Dark Angels,57,combination,INTERROGATION CONCLAVE + SUBVERSION ASSETS,2,80.53,88.35,89.37,100,98.1,96.05,66.98,66.5,91.36,50,77.27,8.85,26.63,22,6
Dark Angels,58,combination,FULGURIS TASK FORCE + SUBVERSION ASSETS + VENGEFUL HOSTS,3,81.86,88.19,89.01,100,97.3,96.21,76.72,46.74,92.13,44.44,77.5,7.18,26.02,24,10
Dark Angels,59,single,HEADHUNTER TASK FORCE,2,82.57,88.11,89.15,97.92,94.26,97.33,59.65,88.16,95.07,72.73,76,6.29,33.92,15,3
Dark Angels,60,combination,ANVIL SIEGE FORCE + FULGURIS TASK FORCE,3,81.8,88.05,89.7,99.77,96.5,99,77.28,37.76,98.75,82.35,77.14,7.1,39.9,21,3
Dark Angels,61,combination,DARK AGE ARSENAL + FIRESTORM ASSAULT FORCE,3,81.81,88.03,89.81,96.8,95.3,97.78,63.79,76.16,98.27,70.59,77.89,7.07,35.1,19,5
Dark Angels,62,combination,HEADHUNTER TASK FORCE + INTERROGATION CONCLAVE,3,81.77,87.86,89.24,98.99,95.65,98.97,57.34,79.55,98.67,76.47,77,6.93,34.56,20,4
Dark Angels,63,combination,DARK AGE ARSENAL + SUBVERSION ASSETS + VENGEFUL HOSTS,3,81.37,87.7,88.57,99.93,96.54,94.83,67.22,66.62,90.13,27.78,78.1,7.22,24.59,21,13
Dark Angels,64,combination,INTERROGATION CONCLAVE + LION’S BLADE TASK FORCE,3,81.43,87.69,88.92,100,96.47,99.32,55.23,77.6,98.03,82.35,77.14,7.14,40.21,21,3
Dark Angels,65,single,LION’S BLADE TASK FORCE,2,81.65,87.56,88.81,100,94.89,97.76,55.52,84.64,94.43,81.82,76.25,6.75,40.75,16,2
Dark Angels,66,combination,1ST COMPANY TASK FORCE + FULGURIS TASK FORCE,3,81.51,87.51,88.75,100,96.09,98.45,77.83,33.87,96.87,76.47,77,6.86,40.92,20,4
Dark Angels,67,combination,INTERROGATION CONCLAVE + VANGUARD SPEARHEAD,3,80.73,87.48,88.57,99.99,96.68,99.81,56.63,70.21,100,76.47,77,7.72,38.49,20,4
Dark Angels,68,combination,BASTION TASK FORCE + FULGURIS TASK FORCE,3,81.25,87.47,88.8,98.65,95.96,98.61,78.61,33.1,100,76.47,77,7.11,32.89,20,4
Dark Angels,69,combination,DARK AGE ARSENAL + UNFORGIVEN TASK FORCE,3,81.69,87.44,90.15,96.78,96.71,98.22,59.62,75.21,96.31,64.71,77.78,6.58,44.52,18,6
Dark Angels,70,combination,DARK AGE ARSENAL + IRONSTORM SPEARHEAD,3,81.95,87.37,89.14,96.94,94.7,97.07,63.6,74.42,94.67,58.82,77.65,6.2,31.83,17,7
Dark Angels,71,combination,FULGURIS TASK FORCE + INTERROGATION CONCLAVE + SUBVERSION ASSETS,3,79.72,87.2,88.23,100,98.1,97.55,69.52,45.13,94.93,55.56,77.69,8.58,26.88,26,8
Dark Angels,72,single,SUBVERSION ASSETS,1,80.6,87.12,88.26,98.15,95.59,89.6,78.84,60.86,76.44,16.67,80,7.48,18.75,10,5
Dark Angels,73,combination,FULGURIS TASK FORCE + ORBITAL ASSAULT FORCE,3,81.88,87.1,88.1,97.14,93.52,97.41,74.34,51.29,96.27,70.59,76.84,5.99,34.05,19,5
Dark Angels,74,combination,FULGURIS TASK FORCE + INTERROGATION CONCLAVE + VENGEFUL HOSTS,3,81.58,86.97,88.1,99.42,95.44,98.7,68.53,48.69,98.27,66.67,76.84,6.2,33.03,19,6
Dark Angels,75,combination,ANVIL SIEGE FORCE + DARK AGE ARSENAL,3,81.22,86.92,89.58,97.05,95.67,97.55,63.03,66.74,95.95,64.71,77.78,6.56,39.89,18,6
Dark Angels,76,single,VANGUARD SPEARHEAD,2,80.66,86.79,88.14,98.99,94.87,98.25,58.32,70.28,98.67,72.73,76,7.06,38.71,15,3
Dark Angels,77,combination,BASTION TASK FORCE + DARK AGE ARSENAL,3,80.81,86.68,88.29,96.76,95.52,97.18,64.31,62.52,97.87,58.82,77.65,6.77,32,17,7
Dark Angels,78,combination,COMPANY OF HUNTERS + FULGURIS TASK FORCE,3,80.95,86.66,87.67,99.73,94.68,98.11,70.51,44.49,97.47,70.59,76.84,6.59,33.05,19,5
Dark Angels,79,combination,DARK AGE ARSENAL + INTERROGATION CONCLAVE + SUBVERSION ASSETS,3,79.33,86.55,87.95,99.23,97.52,96.17,60.03,64.41,92.93,38.89,78.26,8.34,25.59,23,11
Dark Angels,80,combination,LIBRARIUS CONCLAVE + SUBVERSION ASSETS + VENGEFUL HOSTS,3,78.35,86.47,86.92,100,100,93.03,58.6,65.87,91.13,50,78.06,9.39,27.29,31,9
Dark Angels,81,combination,1ST COMPANY TASK FORCE + DARK AGE ARSENAL,3,81.08,86.43,87.9,97.59,95.26,97,63.54,62.89,94.07,58.82,77.65,6.19,41.02,17,7
Dark Angels,82,combination,DARK AGE ARSENAL + ORBITAL ASSAULT FORCE,3,81.48,86.14,87.1,94.88,92.76,96.03,59.99,80.52,94.27,52.94,77.5,5.41,33.24,16,8
Dark Angels,83,combination,INNER CIRCLE TASK FORCE + LIBRARIUS CONCLAVE,3,77.37,86.12,86.72,100,100,93.01,52.75,72.59,94.27,94.12,77.93,10.16,34.58,29,1
Dark Angels,84,combination,FULGURIS TASK FORCE + SUBVERSION ASSETS,2,79.04,86.1,86.92,100,96.63,94.56,76.6,32.83,88.56,41.67,77.14,8.2,25.1,21,7
Dark Angels,85,combination,FULGURIS TASK FORCE + VENGEFUL HOSTS,2,81.43,86.02,87.18,97.85,93.62,97.06,75.41,38.17,94.67,58.33,75.71,5.34,31.83,14,5
Dark Angels,86,combination,DARK AGE ARSENAL + INTERROGATION CONCLAVE + VENGEFUL HOSTS,3,81.1,85.91,87.39,97.22,94.72,97.24,58.74,68.18,95.47,50,77.5,5.6,31.97,16,9
Dark Angels,87,combination,INTERROGATION CONCLAVE + LIBRARIUS CONCLAVE + VENGEFUL HOSTS,3,78.07,85.86,86.5,100,99.53,95.77,50.6,67.92,98.27,72.22,77.69,9.07,32.59,26,5
Dark Angels,88,combination,FULGURIS TASK FORCE + HEADHUNTER TASK FORCE,3,80.33,85.69,86.47,99.33,94.26,97.41,66.96,45.88,95.87,70.59,76.84,6.26,33.07,19,5
Dark Angels,89,combination,FIRESTORM ASSAULT FORCE + LIBRARIUS CONCLAVE,3,77.25,85.57,86.36,99.98,98.54,92.68,50.9,75.05,94.27,94.12,77.93,9.72,34.65,29,1
Dark Angels,90,combination,COMPANY OF HUNTERS + DARK AGE ARSENAL,3,80.37,85.44,86.77,96.05,94.02,96.73,56.15,73.71,95.47,52.94,77.5,5.93,32.08,16,8
Dark Angels,91,combination,FULGURIS TASK FORCE + LION’S BLADE TASK FORCE,3,79.85,85.44,86.56,100,94.99,97.83,64.85,43.93,95.23,76.47,77,6.54,38.94,20,4
Dark Angels,92,combination,IRONSTORM SPEARHEAD + LIBRARIUS CONCLAVE,3,77.28,85.42,86.14,100,98.54,92.68,50.82,73.68,94.27,82.35,77.78,9.53,32.42,27,3
Dark Angels,93,combination,FULGURIS TASK FORCE + VANGUARD SPEARHEAD,3,79.3,85.18,86.28,99.89,94.87,98.25,66.24,36.54,98.67,70.59,76.84,6.9,37.02,19,5
Dark Angels,94,combination,LIBRARIUS CONCLAVE + ORBITAL ASSAULT FORCE,3,76.71,85.03,86.24,98.84,98.31,92.63,47.29,79.87,94.27,76.47,77.69,9.78,33.36,26,4
Dark Angels,95,combination,DARKFLIGHT PURSUIT + INNER CIRCLE TASK FORCE,3,78.4,85.02,85.88,100,96.25,81.65,67.82,69.55,82.07,82.35,77.14,7.79,34.26,21,3
Dark Angels,96,combination,DARKFLIGHT PURSUIT + SUBVERSION ASSETS + VENGEFUL HOSTS,3,79.03,84.95,85.76,100,96.68,83.11,68.66,64.36,79.86,38.89,77.39,6.97,24.62,23,11
Dark Angels,97,single,INTERROGATION CONCLAVE,1,79.71,84.94,86.62,94.6,94.1,98.26,55.19,69.73,96.67,83.33,75,6.16,34.2,12,1
Dark Angels,98,combination,INTERROGATION CONCLAVE + LIBRARIUS CONCLAVE + SUBVERSION ASSETS,3,76.22,84.91,85.34,100,100,93.03,51.41,64.62,91.13,61.11,78.18,10.23,27.92,33,7
Dark Angels,99,combination,DARK AGE ARSENAL + SUBVERSION ASSETS,2,78.53,84.9,85.87,97.42,96.05,93.18,62.51,59.36,86.56,16.67,77.78,7.5,23.37,18,10
Dark Angels,100,combination,LIBRARIUS CONCLAVE + UNFORGIVEN TASK FORCE,3,77.01,84.82,85.86,100,98.87,92.65,46.96,75.27,93.07,88.24,77.86,9.21,40.87,28,2
Dark Angels,101,combination,DARK AGE ARSENAL + VENGEFUL HOSTS,2,80.85,84.81,86.02,94.72,92.89,95.54,60.85,67.7,91.87,33.33,76.36,4.67,30.2,11,8
Dark Angels,102,combination,FULGURIS TASK FORCE + LIBRARIUS CONCLAVE + VENGEFUL HOSTS,3,76.98,84.76,85.49,100,99.03,95.67,57.05,45.48,98.27,66.67,77.6,9.18,31.32,25,6
Dark Angels,103,combination,ANVIL SIEGE FORCE + LIBRARIUS CONCLAVE,3,76.55,84.73,85.66,100,99.1,92.77,50.2,66.67,93.87,88.24,77.86,9.65,37.85,28,2
Dark Angels,104,combination,1ST COMPANY TASK FORCE + LIBRARIUS CONCLAVE,3,76.37,84.71,85.48,100,99.95,92.79,50.73,62.7,94.87,82.35,77.78,9.85,38.62,27,3
Dark Angels,105,combination,DARK AGE ARSENAL + FULGURIS TASK FORCE + SUBVERSION ASSETS,3,78.2,84.66,85.64,98.57,96.05,94.68,66.48,41.97,90.13,33.33,78.18,7.63,24.1,22,12
Dark Angels,106,combination,DARK AGE ARSENAL + LIBRARIUS CONCLAVE + VENGEFUL HOSTS,3,76.32,84.59,85.52,99.2,99.03,95.63,47.44,64.86,97.87,50,78.18,9.78,30.42,22,9
Dark Angels,107,combination,BASTION TASK FORCE + LIBRARIUS CONCLAVE,3,76.09,84.43,85.23,100,98.87,92.74,51.54,61.42,94.27,82.35,77.78,9.88,32.54,27,3
Dark Angels,108,combination,DARKFLIGHT PURSUIT + FIRESTORM ASSAULT FORCE,3,78.28,84.39,85.82,99.92,95.47,80.06,65.99,71.9,82.67,82.35,77.14,7.24,34.35,21,3
Dark Angels,109,combination,DARK AGE ARSENAL + LION’S BLADE TASK FORCE,3,79.32,84.37,85.83,97.34,94.31,96.38,50.52,73.26,92.43,58.82,77.65,5.99,38.81,17,7
Dark Angels,110,combination,LIBRARIUS CONCLAVE + VENGEFUL HOSTS,2,76.18,84.34,85.13,100,99.03,92.63,48.39,66.88,93.87,66.67,77.14,9.68,31.74,21,4
Dark Angels,111,combination,DARK AGE ARSENAL + HEADHUNTER TASK FORCE,3,79.6,84.33,85.36,95,93.42,95.95,52.65,76.01,93.07,52.94,77.5,5.61,32.18,16,8
Dark Angels,112,combination,DARK AGE ARSENAL + VANGUARD SPEARHEAD,3,78.63,84.01,85.49,96.34,94.27,96.87,51.91,65.87,96.67,52.94,77.5,6.4,36.62,16,8
Dark Angels,113,combination,COMPANY OF HUNTERS + LIBRARIUS CONCLAVE,3,75.77,83.98,84.77,100,98.87,92.76,43.46,73.06,94.27,76.47,77.69,9.78,32.63,26,4
Dark Angels,114,combination,DARKFLIGHT PURSUIT + INTERROGATION CONCLAVE + SUBVERSION ASSETS,3,76.9,83.97,85.22,100,97.48,84.45,61.48,62.76,82.66,50,77.6,8.42,25.55,25,9
Dark Angels,115,combination,DARK AGE ARSENAL + LIBRARIUS CONCLAVE + SUBVERSION ASSETS,3,74.64,83.95,84.44,99.82,99.95,92.99,48.43,61.54,91.13,38.89,78.62,11.09,25.91,29,11
Dark Angels,116,combination,FULGURIS TASK FORCE + LIBRARIUS CONCLAVE + SUBVERSION ASSETS,3,75.25,83.93,84.38,100,99.95,92.99,57.84,42.18,91.13,55.56,78.13,10.34,26.9,32,8
Dark Angels,117,combination,DARK AGE ARSENAL + FULGURIS TASK FORCE + VENGEFUL HOSTS,3,79.98,83.9,84.95,96.26,93.04,95.68,65.21,45.73,92.67,44.44,77.33,4.67,29.84,15,10
Dark Angels,118,combination,FULGURIS TASK FORCE + INTERROGATION CONCLAVE,2,78.56,83.9,85.42,96.29,94.18,98.41,64.66,36.07,97.47,75,76.25,6.36,32.97,16,3
Dark Angels,119,combination,DARKFLIGHT PURSUIT + UNFORGIVEN TASK FORCE,3,77.93,83.82,86.46,99.19,97.1,80.57,61.86,71.42,81.51,76.47,77,7.03,42.83,20,4
Dark Angels,120,combination,DARKFLIGHT PURSUIT + IRONSTORM SPEARHEAD,3,78.3,83.74,85.13,99.67,94.95,79.42,65.81,70.32,79.87,70.59,76.84,6.5,31.22,19,5
Dark Angels,121,combination,DARKFLIGHT PURSUIT + INTERROGATION CONCLAVE + VENGEFUL HOSTS,3,78.75,83.63,84.85,99.42,94.82,85.48,60.25,65.92,86,61.11,76.67,5.84,31.22,18,7
Dark Angels,122,combination,ANVIL SIEGE FORCE + DARKFLIGHT PURSUIT,3,77.57,83.29,85.42,99.77,95.82,79.89,65.23,63,81.15,76.47,77,6.87,38.65,20,4
Dark Angels,123,combination,HEADHUNTER TASK FORCE + LIBRARIUS CONCLAVE,3,75.06,83.23,83.94,99.97,98.54,92.67,39.9,73.69,94.27,76.47,77.69,9.82,32.67,26,4
Dark Angels,124,combination,LIBRARIUS CONCLAVE + LION’S BLADE TASK FORCE,3,74.63,83.07,83.73,100,99.93,92.95,37.81,72.37,93.87,82.35,77.78,10.16,37.06,27,3
Dark Angels,125,combination,FULGURIS TASK FORCE + INTERROGATION CONCLAVE + LIBRARIUS CONCLAVE,3,74.85,82.94,83.92,99.35,98.47,95.67,49.87,44.27,98.27,77.78,77.78,9.75,32,27,4
Dark Angels,126,combination,LIBRARIUS CONCLAVE + SUBVERSION ASSETS,2,73.89,82.85,83.35,100,99.47,88.39,49.64,61.98,83.56,50,80,10.81,24.57,21,6
Dark Angels,127,combination,DARK AGE ARSENAL + INTERROGATION CONCLAVE,2,78.15,82.82,84.43,93.73,93.7,96.88,50.21,64.99,94.67,50,76.92,5.64,31.67,13,6
Dark Angels,128,combination,BASTION TASK FORCE + DARKFLIGHT PURSUIT,3,77.02,82.82,84.22,98.65,95.61,79.51,66.53,58.34,82.87,70.59,76.84,7,31.36,19,5
Dark Angels,129,combination,1ST COMPANY TASK FORCE + DARKFLIGHT PURSUIT,3,77.27,82.76,84.01,100,95.47,79.35,65.75,59.11,79.27,70.59,76.84,6.63,39.69,19,5
Dark Angels,130,combination,DARK AGE ARSENAL + FULGURIS TASK FORCE + INTERROGATION CONCLAVE,3,77.96,82.71,84.24,95.27,93.79,97.03,58.08,44.13,95.47,55.56,77.65,5.74,31.03,17,8
Dark Angels,131,combination,DARK AGE ARSENAL + INTERROGATION CONCLAVE + LIBRARIUS CONCLAVE,3,74.38,82.68,83.88,98.12,98.47,95.63,40.29,63.62,97.87,61.11,78.33,10.04,31.2,24,7
Dark Angels,132,combination,LIBRARIUS CONCLAVE + VANGUARD SPEARHEAD,3,74.04,82.39,83.18,100,99.04,92.79,39.2,65.15,94.27,76.47,77.69,10.13,35.52,26,4
Dark Angels,133,combination,DARKFLIGHT PURSUIT + ORBITAL ASSAULT FORCE,3,77.64,82.35,83.34,97.14,92.91,78.3,62.22,76.53,78.67,64.71,76.67,5.72,32.44,18,6
Dark Angels,134,combination,DARKFLIGHT PURSUIT + FULGURIS TASK FORCE + SUBVERSION ASSETS,3,75.9,82.2,83.02,100,96.01,82.96,67.92,40.31,79.86,44.44,77.5,7.66,24.17,24,10
Dark Angels,135,combination,DARKFLIGHT PURSUIT + LIBRARIUS CONCLAVE + VENGEFUL HOSTS,3,74.15,81.88,82.6,100,99.03,83.67,48.91,62.31,87.6,61.11,77.5,9.44,30,24,7
Dark Angels,136,combination,COMPANY OF HUNTERS + DARKFLIGHT PURSUIT,3,76.71,81.86,82.9,99.63,94,78.97,58.38,69.73,79.87,64.71,76.67,6.29,31.38,18,6
Dark Angels,137,combination,INTERROGATION CONCLAVE + LIBRARIUS CONCLAVE,2,73.39,81.65,82.79,98.84,98.47,92.63,37.66,65.13,93.87,83.33,77.39,10.12,32.5,23,2
Dark Angels,138,combination,DARKFLIGHT PURSUIT + FULGURIS TASK FORCE + VENGEFUL HOSTS,3,77.65,81.64,82.58,98.84,92.95,83.89,66.72,43.48,83.2,55.56,76.47,4.89,29.31,17,8
Dark Angels,139,combination,DARK AGE ARSENAL + DARKFLIGHT PURSUIT + SUBVERSION ASSETS,3,75.38,81.54,82.5,98.57,95.42,81.58,58.39,60.8,77.86,27.78,78.1,7.55,22.55,21,13
