faction,rank,kind,detachments,sources,dp_cost,chapter_lock,force_dispositions,score_total,score_primary,score_secondary,score_inventory,score_rule_stratagem,score_enhancement,score_flexibility,coverage_pct,confidence,supported,partial,unsupported
Salamanders,38,combination,SUBVERSION ASSETS + VANGUARD SPEARHEAD,Space Marines + Space Marines,3,,DISRUPTION + RECONNAISSANCE,81.34,89.1,88.21,90.28,65,63.91,80.49,54.55,medium,0,15,2
Salamanders,39,combination,BASTION TASK FORCE + FULGURIS TASK FORCE,Space Marines + Space Marines,3,,RECONNAISSANCE + TAKE AND HOLD,81.25,88.57,88.21,94.78,75.22,29.19,91.2,18.63,low,0,6,11
Salamanders,40,combination,FULGURIS TASK FORCE + VENGEFUL HOSTS,Space Marines + Space Marines,2,,RECONNAISSANCE + TAKE AND HOLD,81.18,88.15,88.5,94.78,71.99,35.12,91.2,28.34,low,1,4,7
Salamanders,41,single,SUBVERSION ASSETS,Space Marines,1,,DISRUPTION,80.75,86.93,86.59,85.78,74.8,61.14,69.78,60,medium,0,6,0
Salamanders,42,single,VANGUARD SPEARHEAD,Space Marines,2,,RECONNAISSANCE,80.66,87.95,87.4,94.78,55.2,66.67,91.2,49.09,medium,0,9,2
Salamanders,43,combination,1ST COMPANY TASK FORCE + FULGURIS TASK FORCE,Space Marines + Space Marines,3,,PURGE THE FOE + RECONNAISSANCE,80.54,88.87,88.55,94.78,71.82,26.57,93,29.55,low,0,10,7
Salamanders,44,combination,FULGURIS TASK FORCE + HEADHUNTER TASK FORCE,Space Marines + Space Marines,3,,PRIORITY ASSETS + RECONNAISSANCE,80.27,89.62,88.21,94.78,63.61,40.51,91.2,18.63,low,0,6,11
Salamanders,45,combination,FULGURIS TASK FORCE + VANGUARD SPEARHEAD,Space Marines + Space Marines,3,,RECONNAISSANCE,79.3,89.3,87.91,94.78,63.07,33.34,91.2,29.55,low,0,10,7
Salamanders,46,combination,FULGURIS TASK FORCE + SUBVERSION ASSETS,Space Marines + Space Marines,2,,DISRUPTION + RECONNAISSANCE,79.11,88.14,87.09,90.28,72.87,30.57,80.49,35,low,0,7,5
Salamanders,47,combination,LIBRARIUS CONCLAVE + SUBVERSION ASSETS + VENGEFUL HOSTS,Space Marines + Space Marines + Space Marines,3,,DISRUPTION + RECONNAISSANCE + TAKE AND HOLD,77.13,88.08,89.16,82.78,53.47,62.24,74.95,55.56,medium,1,15,2
Salamanders,48,single,FULGURIS TASK FORCE,Space Marines,1,,RECONNAISSANCE,76.75,87.27,86.39,94.78,70.94,0,91.2,10,low,0,1,5
Salamanders,49,combination,FORGEFATHER’S SEEKERS + LIBRARIUS CONCLAVE,Salamanders + Space Marines,3,Salamanders,PRIORITY ASSETS + RECONNAISSANCE,76.65,85.54,88.08,81.28,48.47,76.92,77.54,53.64,medium,1,13,3
Salamanders,50,combination,IRONSTORM SPEARHEAD + LIBRARIUS CONCLAVE,Space Marines + Space Marines,3,,RECONNAISSANCE + TAKE AND HOLD,75.78,88.52,88.03,81.28,45.02,69.27,77.54,49.09,medium,0,13,4
Salamanders,51,combination,FULGURIS TASK FORCE + LIBRARIUS CONCLAVE + VENGEFUL HOSTS,Space Marines + Space Marines + Space Marines,3,,RECONNAISSANCE + TAKE AND HOLD,75.76,88.29,88.89,85.78,52.18,41.86,82.09,38.89,low,1,10,7
Salamanders,52,combination,LIBRARIUS CONCLAVE + ORBITAL ASSAULT FORCE,Space Marines + Space Marines,3,,RECONNAISSANCE + TAKE AND HOLD,75.22,86.92,87.18,81.28,41.78,75.48,77.54,43.64,medium,0,11,6
Salamanders,53,combination,ANVIL SIEGE FORCE + LIBRARIUS CONCLAVE,Space Marines + Space Marines,3,,RECONNAISSANCE + TAKE AND HOLD,75.06,88.52,88.03,81.28,44.67,62.83,77.54,46.36,medium,0,12,5
Salamanders,54,combination,FIRESTORM ASSAULT FORCE + LIBRARIUS CONCLAVE,Space Marines + Space Marines,3,,PRIORITY ASSETS + RECONNAISSANCE,74.65,82.55,87.79,81.28,45.17,70.24,77.54,53.64,medium,1,13,3
Salamanders,55,combination,BASTION TASK FORCE + LIBRARIUS CONCLAVE,Space Marines + Space Marines,3,,RECONNAISSANCE + TAKE AND HOLD,74.61,87.8,88.08,81.28,46.03,56.86,77.54,43.64,medium,0,11,6
Salamanders,56,combination,LIBRARIUS CONCLAVE + VENGEFUL HOSTS,Space Marines + Space Marines,2,,RECONNAISSANCE + TAKE AND HOLD,74.46,87.41,88.03,81.28,42.8,62.8,77.54,53.34,medium,1,9,2
Salamanders,57,combination,FULGURIS TASK FORCE + LIBRARIUS CONCLAVE + SUBVERSION ASSETS,Space Marines + Space Marines + Space Marines,3,,DISRUPTION + RECONNAISSANCE,74.32,88.5,87.52,82.78,52.77,38.83,74.95,43.33,medium,0,13,5
Salamanders,58,combination,1ST COMPANY TASK FORCE + LIBRARIUS CONCLAVE,Space Marines + Space Marines,3,,PURGE THE FOE + RECONNAISSANCE,73.93,88.26,88.4,81.28,42.63,54.25,79.34,54.55,medium,0,15,2
Salamanders,59,combination,HEADHUNTER TASK FORCE + LIBRARIUS CONCLAVE,Space Marines + Space Marines,3,,PRIORITY ASSETS + RECONNAISSANCE,73.52,88.33,88.08,81.28,34.42,68.19,77.54,43.64,medium,0,11,6
Salamanders,60,combination,LIBRARIUS CONCLAVE + VANGUARD SPEARHEAD,Space Marines + Space Marines,3,,RECONNAISSANCE,72.57,88.04,87.79,81.28,33.88,61.02,77.54,54.55,medium,0,15,2
Salamanders,61,combination,LIBRARIUS CONCLAVE + SUBVERSION ASSETS,Space Marines + Space Marines,2,,DISRUPTION + RECONNAISSANCE,72.5,87.45,87,76.78,43.68,58.25,66.83,60,medium,0,12,0
Salamanders,62,combination,FULGURIS TASK FORCE + LIBRARIUS CONCLAVE,Space Marines + Space Marines,2,,RECONNAISSANCE,70.43,87.41,86.79,81.28,41.76,27.68,77.54,35,low,0,7,5
Salamanders,63,single,LIBRARIUS CONCLAVE,Space Marines,1,,RECONNAISSANCE,63.58,86.06,86.27,67.78,12.57,55.36,63.88,60,medium,0,6,0
Dark Angels,1,single,INNER CIRCLE TASK FORCE,Dark Angels,2,Dark Angels,PRIORITY ASSETS,87.31,88.14,87.5,94.53,81.72,79.93,91.27,54.55,medium,0,10,1
Dark Angels,2,single,FIRESTORM ASSAULT FORCE,Dark Angels,2,,PRIORITY ASSETS,87.07,88.14,87.5,94.53,77.91,85.17,91.27,43.64,medium,0,8,3
Dark Angels,3,single,IRONSTORM SPEARHEAD,Dark Angels,2,,TAKE AND HOLD,86.99,88.54,87.74,94.53,77.79,83.19,91.27,38.18,low,0,7,4
Dark Angels,4,combination,INNER CIRCLE TASK FORCE + VENGEFUL HOSTS,Dark Angels + Dark Angels,3,Dark Angels,PRIORITY ASSETS + TAKE AND HOLD,86.88,90.38,89.3,94.53,77.46,75.14,91.27,47.28,medium,0,14,3
Dark Angels,5,combination,IRONSTORM SPEARHEAD + VENGEFUL HOSTS,Dark Angels + Dark Angels,3,,TAKE AND HOLD,86.83,91.05,89.51,94.53,75.5,76.77,91.27,39.09,low,0,11,6
Dark Angels,6,combination,FIRESTORM ASSAULT FORCE + VENGEFUL HOSTS,Dark Angels + Dark Angels,3,,PRIORITY ASSETS + TAKE AND HOLD,86.76,90.38,89.3,94.53,75.55,77.76,91.27,41.82,low,0,12,5
Dark Angels,7,combination,UNFORGIVEN TASK FORCE + VENGEFUL HOSTS,Dark Angels + Dark Angels,3,Dark Angels,TAKE AND HOLD,86.56,91.11,90.16,94.53,72.05,79.18,91.27,33.64,low,0,9,8
Dark Angels,8,single,ORBITAL ASSAULT FORCE,Dark Angels,2,,TAKE AND HOLD,86.36,86.81,86.89,94.53,71.04,95.98,91.27,27.27,low,0,5,6
Dark Angels,9,combination,ORBITAL ASSAULT FORCE + VENGEFUL HOSTS,Dark Angels + Dark Angels,3,,TAKE AND HOLD,86.32,89.32,88.98,94.53,72.12,83.17,91.27,33.64,low,0,9,8
Dark Angels,10,single,UNFORGIVEN TASK FORCE,Dark Angels,2,Dark Angels,TAKE AND HOLD,86.26,88.6,88.38,94.53,70.9,88,91.27,27.27,low,0,5,6
Dark Angels,11,combination,ANVIL SIEGE FORCE + VENGEFUL HOSTS,Dark Angels + Dark Angels,3,,TAKE AND HOLD,86.1,91.05,89.51,94.53,75.03,70.38,91.27,36.36,low,0,10,7
Dark Angels,12,combination,1ST COMPANY TASK FORCE + VENGEFUL HOSTS,Dark Angels + Dark Angels,3,,PURGE THE FOE + TAKE AND HOLD,85.89,90.66,89.88,94.53,75.47,66.34,93.07,44.55,medium,0,13,4
Dark Angels,13,combination,BASTION TASK FORCE + VENGEFUL HOSTS,Dark Angels + Dark Angels,3,,TAKE AND HOLD,85.71,90.24,89.9,94.53,76.37,64.37,91.27,33.64,low,0,9,8
Dark Angels,14,single,GLADIUS TASK FORCE,Dark Angels,3,,PRIORITY ASSETS,85.55,88.37,87.79,94.53,69.77,85.03,91.27,32.73,low,0,6,5
Dark Angels,15,single,ANVIL SIEGE FORCE,Dark Angels,2,,TAKE AND HOLD,85.53,88.54,87.74,94.53,76.86,70.42,91.27,32.73,low,0,6,5
Dark Angels,16,combination,COMPANY OF HUNTERS + VENGEFUL HOSTS,Dark Angels + Dark Angels,3,Dark Angels,DISRUPTION + TAKE AND HOLD,85.32,90.34,89.9,94.53,68.33,76.36,91.27,39.09,low,0,11,6
Dark Angels,17,single,1ST COMPANY TASK FORCE,Dark Angels,2,,PURGE THE FOE,85,88.14,88.11,94.53,77.75,62.33,93.07,49.09,medium,0,9,2
Dark Angels,18,single,VENGEFUL HOSTS,Dark Angels,1,,TAKE AND HOLD,84.79,88.54,87.74,94.53,73.2,70.35,91.27,40,low,0,4,2
Dark Angels,19,single,BASTION TASK FORCE,Dark Angels,2,,TAKE AND HOLD,84.71,87.73,87.79,94.53,79.54,58.39,91.27,27.27,low,0,5,6
Dark Angels,20,combination,INNER CIRCLE TASK FORCE + SUBVERSION ASSETS,Dark Angels + Dark Angels,3,Dark Angels,DISRUPTION + PRIORITY ASSETS,84.67,89.66,88.31,90.03,77.94,70.4,80.56,57.28,medium,0,16,1
Dark Angels,21,combination,HEADHUNTER TASK FORCE + VENGEFUL HOSTS,Dark Angels + Dark Angels,3,,PRIORITY ASSETS + TAKE AND HOLD,84.62,90.49,89.9,94.53,64.76,76.26,91.27,33.64,low,0,9,8
Dark Angels,22,combination,FIRESTORM ASSAULT FORCE + SUBVERSION ASSETS,Dark Angels + Dark Angels,3,,DISRUPTION + PRIORITY ASSETS,84.55,89.66,88.31,90.03,76.03,73.02,80.56,51.82,medium,0,14,3
Dark Angels,23,combination,IRONSTORM SPEARHEAD + SUBVERSION ASSETS,Dark Angels + Dark Angels,3,,DISRUPTION + TAKE AND HOLD,84.53,89.42,88.87,90.03,75.97,72.03,80.56,49.09,medium,0,13,4
Dark Angels,24,combination,LION’S BLADE TASK FORCE + VENGEFUL HOSTS,Dark Angels + Dark Angels,3,Dark Angels,PURGE THE FOE + TAKE AND HOLD,84.17,91.1,89.51,94.53,62.77,75.47,91.27,41.82,low,0,12,5
Dark Angels,25,combination,SUBVERSION ASSETS + UNFORGIVEN TASK FORCE,Dark Angels + Dark Angels,3,Dark Angels,DISRUPTION + TAKE AND HOLD,84.16,89.49,89.13,90.03,72.53,74.43,80.56,43.64,medium,0,11,6
Dark Angels,26,combination,INNER CIRCLE TASK FORCE + INTERROGATION CONCLAVE,Dark Angels + Dark Angels,3,Dark Angels,PRIORITY ASSETS + TAKE AND HOLD,84.11,88.94,88.4,94.53,66.92,73.63,91.27,42.28,low,0,13,4
Dark Angels,27,combination,INTERROGATION CONCLAVE + IRONSTORM SPEARHEAD,Dark Angels + Dark Angels,3,Dark Angels,TAKE AND HOLD,84.1,89.32,88.98,94.53,64.96,75.26,91.27,34.09,low,0,10,7
Dark Angels,28,single,CERAMITE SENTINELS,Dark Angels,3,,TAKE AND HOLD,84.01,88.54,87.74,94.53,68.47,72.07,91.27,38.18,low,0,7,4
Dark Angels,29,combination,FIRESTORM ASSAULT FORCE + INTERROGATION CONCLAVE,Dark Angels + Dark Angels,3,Dark Angels,PRIORITY ASSETS + TAKE AND HOLD,83.99,88.94,88.4,94.53,65.02,76.25,91.27,36.82,low,0,11,6
Dark Angels,30,single,COMPANY OF HUNTERS,Dark Angels,2,Dark Angels,DISRUPTION,83.97,88.1,87.79,94.53,63.45,82.37,91.27,38.18,low,0,7,4
Dark Angels,31,combination,ORBITAL ASSAULT FORCE + SUBVERSION ASSETS,Dark Angels + Dark Angels,3,,DISRUPTION + TAKE AND HOLD,83.86,87.8,87.61,90.03,72.6,78.42,80.56,43.64,medium,0,11,6
Dark Angels,32,combination,ANVIL SIEGE FORCE + SUBVERSION ASSETS,Dark Angels + Dark Angels,3,,DISRUPTION + TAKE AND HOLD,83.8,89.42,88.87,90.03,75.51,65.64,80.56,46.36,medium,0,12,5
Dark Angels,33,combination,INTERROGATION CONCLAVE + UNFORGIVEN TASK FORCE,Dark Angels + Dark Angels,3,Dark Angels,TAKE AND HOLD,83.73,89.37,89.25,94.53,61.51,77.66,91.27,28.64,low,0,8,9
Dark Angels,34,combination,VANGUARD SPEARHEAD + VENGEFUL HOSTS,Dark Angels + Dark Angels,3,,RECONNAISSANCE + TAKE AND HOLD,83.54,90.27,89.3,94.53,64.18,68.52,91.27,44.55,medium,0,13,4
Dark Angels,35,combination,1ST COMPANY TASK FORCE + SUBVERSION ASSETS,Dark Angels + Dark Angels,3,,DISRUPTION + PURGE THE FOE,83.49,88.97,88.89,90.03,75.95,61.6,82.36,54.55,medium,0,15,2
Dark Angels,36,combination,SUBVERSION ASSETS + VENGEFUL HOSTS,Dark Angels + Dark Angels,2,,DISRUPTION + TAKE AND HOLD,83.43,89.42,88.87,90.03,73.68,65.6,80.56,50,medium,0,10,2
Dark Angels,37,combination,INTERROGATION CONCLAVE + ORBITAL ASSAULT FORCE,Dark Angels + Dark Angels,3,Dark Angels,TAKE AND HOLD,83.42,87.58,87.79,94.53,61.58,81.66,91.27,28.64,low,0,8,9
Dark Angels,38,combination,ANVIL SIEGE FORCE + INTERROGATION CONCLAVE,Dark Angels + Dark Angels,3,Dark Angels,TAKE AND HOLD,83.36,89.32,88.98,94.53,64.49,68.88,91.27,31.37,low,0,9,8
Dark Angels,39,single,STORMLANCE TASK FORCE,Dark Angels,3,,DISRUPTION,83.25,88.02,87.5,94.53,58.59,85.85,91.27,43.64,medium,0,8,3
Dark Angels,40,combination,BASTION TASK FORCE + SUBVERSION ASSETS,Dark Angels + Dark Angels,3,,DISRUPTION + TAKE AND HOLD,83.23,88.67,88.52,90.03,76.85,59.63,80.56,43.64,medium,0,11,6
Dark Angels,41,combination,1ST COMPANY TASK FORCE + INTERROGATION CONCLAVE,Dark Angels + Dark Angels,3,Dark Angels,PURGE THE FOE + TAKE AND HOLD,83.07,88.91,89.03,94.53,64.94,64.83,93.07,39.55,low,0,12,5
Dark Angels,42,single,ARMOURED SPEARTIP,Dark Angels,3,,TAKE AND HOLD,83.01,87.67,87.5,94.53,58.33,84.6,91.27,43.64,medium,0,8,3
Dark Angels,43,combination,INTERROGATION CONCLAVE + VENGEFUL HOSTS,Dark Angels + Dark Angels,2,Dark Angels,TAKE AND HOLD,83,89.32,88.98,94.53,62.66,68.84,91.27,35,low,0,7,5
Dark Angels,44,combination,INTERROGATION CONCLAVE + SUBVERSION ASSETS + VENGEFUL HOSTS,Dark Angels + Dark Angels + Dark Angels,3,Dark Angels,DISRUPTION + TAKE AND HOLD,82.94,90.32,89.77,91.53,66.49,66.18,84.13,43.33,medium,0,13,5
Dark Angels,45,combination,COMPANY OF HUNTERS + SUBVERSION ASSETS,Dark Angels + Dark Angels,3,Dark Angels,DISRUPTION,82.91,89.1,88.52,90.03,68.8,71.62,80.56,49.09,medium,0,13,4
Dark Angels,46,combination,BASTION TASK FORCE + INTERROGATION CONCLAVE,Dark Angels + Dark Angels,3,Dark Angels,TAKE AND HOLD,82.8,88.5,88.69,94.53,65.83,62.86,91.27,28.64,low,0,8,9
Dark Angels,47,combination,FULGURIS TASK FORCE + INNER CIRCLE TASK FORCE,Dark Angels + Dark Angels,3,Dark Angels,PRIORITY ASSETS + RECONNAISSANCE,82.64,89.5,88.01,94.53,76.35,39.97,91.27,32.28,low,0,11,6
Dark Angels,48,single,HEADHUNTER TASK FORCE,Dark Angels,2,,PRIORITY ASSETS,82.57,88.37,87.79,94.53,56.31,82.16,91.27,27.27,low,0,5,6
Dark Angels,49,combination,FULGURIS TASK FORCE + IRONSTORM SPEARHEAD,Dark Angels + Dark Angels,3,,RECONNAISSANCE + TAKE AND HOLD,82.54,89.4,88.6,94.53,74.39,41.6,91.27,24.09,low,0,8,9
Dark Angels,50,combination,FIRESTORM ASSAULT FORCE + FULGURIS TASK FORCE,Dark Angels + Dark Angels,3,,PRIORITY ASSETS + RECONNAISSANCE,82.52,89.5,88.01,94.53,74.45,42.59,91.27,26.82,low,0,9,8
Dark Angels,51,combination,COMPANY OF HUNTERS + INTERROGATION CONCLAVE,Dark Angels + Dark Angels,3,Dark Angels,DISRUPTION + TAKE AND HOLD,82.43,88.72,88.69,94.53,57.79,74.85,91.27,34.09,low,0,10,7
Dark Angels,52,combination,HEADHUNTER TASK FORCE + SUBVERSION ASSETS,Dark Angels + Dark Angels,3,,DISRUPTION + PRIORITY ASSETS,82.33,89.86,88.52,90.03,65.23,71.51,80.56,43.64,medium,0,11,6
Dark Angels,53,single,WRATH OF THE ROCK,Dark Angels,3,,PRIORITY ASSETS,82.2,88.83,88.38,94.53,52.36,83.95,91.27,38.18,low,0,7,4
Dark Angels,54,combination,FULGURIS TASK FORCE + UNFORGIVEN TASK FORCE,Dark Angels + Dark Angels,3,Dark Angels,RECONNAISSANCE + TAKE AND HOLD,82.17,89.48,88.87,94.53,70.94,44,91.27,18.63,low,0,6,11
Dark Angels,55,combination,DARK AGE ARSENAL + IRONSTORM SPEARHEAD,Dark Angels + Dark Angels,3,Dark Angels,PRIORITY ASSETS + TAKE AND HOLD,81.95,86.26,88.12,94.53,60.72,70.52,91.27,37.42,low,1,9,7
Dark Angels,56,combination,DARK AGE ARSENAL + INNER CIRCLE TASK FORCE,Dark Angels + Dark Angels,3,Dark Angels,PRIORITY ASSETS,81.92,85.29,87.88,94.53,62.69,68.89,91.27,45.61,medium,1,12,4
Dark Angels,57,combination,FULGURIS TASK FORCE + ORBITAL ASSAULT FORCE,Dark Angels + Dark Angels,3,,RECONNAISSANCE + TAKE AND HOLD,81.88,87.79,87.4,94.53,71.01,47.99,91.27,18.63,low,0,6,11
Dark Angels,58,combination,FULGURIS TASK FORCE + SUBVERSION ASSETS + VENGEFUL HOSTS,Dark Angels + Dark Angels + Dark Angels,3,,DISRUPTION + RECONNAISSANCE + TAKE AND HOLD,81.86,90.34,89.39,91.53,72.78,43.74,84.13,36.67,low,0,11,7
Dark Angels,59,combination,LION’S BLADE TASK FORCE + SUBVERSION ASSETS,Dark Angels + Dark Angels,3,Dark Angels,DISRUPTION + PURGE THE FOE,81.85,89.36,88.87,90.03,63.24,70.73,80.56,51.82,medium,0,14,3
Dark Angels,60,combination,DARK AGE ARSENAL + FIRESTORM ASSAULT FORCE,Dark Angels + Dark Angels,3,Dark Angels,PRIORITY ASSETS,81.81,85.29,87.88,94.53,60.78,71.51,91.27,40.16,low,1,10,6
Dark Angels,61,combination,ANVIL SIEGE FORCE + FULGURIS TASK FORCE,Dark Angels + Dark Angels,3,,RECONNAISSANCE + TAKE AND HOLD,81.8,89.4,88.6,94.53,73.92,35.21,91.27,21.37,low,0,7,10
Dark Angels,62,combination,HEADHUNTER TASK FORCE + INTERROGATION CONCLAVE,Dark Angels + Dark Angels,3,Dark Angels,PRIORITY ASSETS + TAKE AND HOLD,81.77,89.06,88.69,94.53,54.22,74.75,91.27,28.64,low,0,8,9
Dark Angels,63,combination,DARK AGE ARSENAL + UNFORGIVEN TASK FORCE,Dark Angels + Dark Angels,3,Dark Angels,PRIORITY ASSETS + TAKE AND HOLD,81.69,86.39,88.76,94.53,57.28,72.93,91.27,31.97,low,1,7,9
Dark Angels,64,single,LION’S BLADE TASK FORCE,Dark Angels,2,Dark Angels,PURGE THE FOE,81.65,88.58,87.74,94.53,52.33,80.6,91.27,43.64,medium,0,8,3
Dark Angels,65,combination,FULGURIS TASK FORCE + INTERROGATION CONCLAVE + VENGEFUL HOSTS,Dark Angels + Dark Angels + Dark Angels,3,Dark Angels,RECONNAISSANCE + TAKE AND HOLD,81.58,90.31,89.47,94.53,65.44,45.89,91.27,26.67,low,0,8,10
Dark Angels,66,combination,1ST COMPANY TASK FORCE + FULGURIS TASK FORCE,Dark Angels + Dark Angels,3,,PURGE THE FOE + RECONNAISSANCE,81.51,88.98,88.65,94.53,74.37,31.17,93.07,29.55,low,0,10,7
Dark Angels,67,combination,DARK AGE ARSENAL + ORBITAL ASSAULT FORCE,Dark Angels + Dark Angels,3,Dark Angels,PRIORITY ASSETS + TAKE AND HOLD,81.48,85.15,87.27,94.53,57.35,76.92,91.27,31.97,low,1,7,9
Dark Angels,68,combination,INTERROGATION CONCLAVE + LION’S BLADE TASK FORCE,Dark Angels + Dark Angels,3,Dark Angels,PURGE THE FOE + TAKE AND HOLD,81.43,89.35,88.98,94.53,52.23,73.97,91.27,36.82,low,0,11,6
Dark Angels,69,combination,FULGURIS TASK FORCE + VENGEFUL HOSTS,Dark Angels + Dark Angels,2,,RECONNAISSANCE + TAKE AND HOLD,81.43,89.4,88.6,94.53,72.09,35.17,91.27,25,low,0,5,7
Dark Angels,70,combination,DARK AGE ARSENAL + SUBVERSION ASSETS + VENGEFUL HOSTS,Dark Angels + Dark Angels + Dark Angels,3,Dark Angels,DISRUPTION + PRIORITY ASSETS + TAKE AND HOLD,81.37,87.53,89.25,91.53,63.67,63.02,84.13,45.56,medium,1,12,5
Dark Angels,71,combination,SUBVERSION ASSETS + VANGUARD SPEARHEAD,Dark Angels + Dark Angels,3,,DISRUPTION + RECONNAISSANCE,81.26,89.21,88.31,90.03,64.66,63.77,80.56,54.55,medium,0,15,2
Dark Angels,72,combination,BASTION TASK FORCE + FULGURIS TASK FORCE,Dark Angels + Dark Angels,3,,RECONNAISSANCE + TAKE AND HOLD,81.25,88.68,88.31,94.53,75.26,29.2,91.27,18.63,low,0,6,11
Dark Angels,73,combination,ANVIL SIEGE FORCE + DARK AGE ARSENAL,Dark Angels + Dark Angels,3,Dark Angels,PRIORITY ASSETS + TAKE AND HOLD,81.22,86.26,88.12,94.53,60.26,64.14,91.27,34.7,low,1,8,8
Dark Angels,74,combination,DARK AGE ARSENAL + INTERROGATION CONCLAVE + VENGEFUL HOSTS,Dark Angels + Dark Angels + Dark Angels,3,Dark Angels,PRIORITY ASSETS + TAKE AND HOLD,81.1,87.51,89.36,94.53,56.33,65.18,91.27,35.56,low,1,9,8
Dark Angels,75,combination,1ST COMPANY TASK FORCE + DARK AGE ARSENAL,Dark Angels + Dark Angels,3,Dark Angels,PRIORITY ASSETS + PURGE THE FOE,81.08,86.21,88.5,94.53,60.7,60.09,93.07,42.88,medium,1,11,5
Dark Angels,76,combination,COMPANY OF HUNTERS + FULGURIS TASK FORCE,Dark Angels + Dark Angels,3,Dark Angels,DISRUPTION + RECONNAISSANCE,80.95,89.21,88.31,94.53,67.22,41.19,91.27,24.09,low,0,8,9
Dark Angels,77,combination,DARK AGE ARSENAL + VENGEFUL HOSTS,Dark Angels + Dark Angels,2,Dark Angels,PRIORITY ASSETS + TAKE AND HOLD,80.85,86.26,88.12,94.53,58.43,64.1,91.27,38.34,low,1,6,5
Dark Angels,78,combination,BASTION TASK FORCE + DARK AGE ARSENAL,Dark Angels + Dark Angels,3,Dark Angels,PRIORITY ASSETS + TAKE AND HOLD,80.81,85.83,88.18,94.53,61.6,58.12,91.27,31.97,low,1,7,9
Dark Angels,79,combination,INTERROGATION CONCLAVE + VANGUARD SPEARHEAD,Dark Angels + Dark Angels,3,Dark Angels,RECONNAISSANCE + TAKE AND HOLD,80.73,88.67,88.4,94.53,53.65,67.01,91.27,39.55,low,0,12,5
Dark Angels,80,single,VANGUARD SPEARHEAD,Dark Angels,2,,RECONNAISSANCE,80.66,88.05,87.5,94.53,55.17,66.68,91.27,49.09,medium,0,9,2
Dark Angels,81,single,SUBVERSION ASSETS,Dark Angels,1,,DISRUPTION,80.6,87.04,86.7,85.53,74.16,60.86,69.84,60,medium,0,6,0
Dark Angels,82,combination,INTERROGATION CONCLAVE + SUBVERSION ASSETS,Dark Angels + Dark Angels,2,Dark Angels,DISRUPTION + TAKE AND HOLD,80.53,87.8,87.61,90.03,63.14,64.1,80.56,45,medium,0,9,3
Dark Angels,83,combination,COMPANY OF HUNTERS + DARK AGE ARSENAL,Dark Angels + Dark Angels,3,Dark Angels,DISRUPTION + PRIORITY ASSETS,80.37,85.69,88.18,94.53,53.55,70.11,91.27,37.42,low,1,9,7
Dark Angels,84,combination,FULGURIS TASK FORCE + HEADHUNTER TASK FORCE,Dark Angels + Dark Angels,3,,PRIORITY ASSETS + RECONNAISSANCE,80.33,89.72,88.31,94.53,63.65,41.08,91.27,18.63,low,0,6,11
Dark Angels,85,combination,DARK AGE ARSENAL + FULGURIS TASK FORCE + VENGEFUL HOSTS,Dark Angels + Dark Angels + Dark Angels,3,Dark Angels,PRIORITY ASSETS + RECONNAISSANCE + TAKE AND HOLD,79.98,87.36,88.98,94.53,62.61,42.73,91.27,28.89,low,1,7,10
Dark Angels,86,combination,FULGURIS TASK FORCE + LION’S BLADE TASK FORCE,Dark Angels + Dark Angels,3,Dark Angels,PURGE THE FOE + RECONNAISSANCE,79.85,89.37,88.6,94.53,61.66,40.3,91.27,26.82,low,0,9,8
Dark Angels,87,combination,FULGURIS TASK FORCE + INTERROGATION CONCLAVE + SUBVERSION ASSETS,Dark Angels + Dark Angels + Dark Angels,3,Dark Angels,DISRUPTION + RECONNAISSANCE + TAKE AND HOLD,79.72,88.76,88.13,91.53,65.76,42.73,84.13,33.33,low,0,10,8
Dark Angels,88,single,INTERROGATION CONCLAVE,Dark Angels,1,Dark Angels,TAKE AND HOLD,79.71,86.81,86.89,94.53,52.12,67.33,91.27,30,low,0,3,3
Dark Angels,89,combination,DARK AGE ARSENAL + HEADHUNTER TASK FORCE,Dark Angels + Dark Angels,3,Dark Angels,PRIORITY ASSETS,79.6,85.45,88.18,94.53,49.98,70.01,91.27,31.97,low,1,7,9
Dark Angels,90,combination,DARK AGE ARSENAL + INTERROGATION CONCLAVE + SUBVERSION ASSETS,Dark Angels + Dark Angels + Dark Angels,3,Dark Angels,DISRUPTION + PRIORITY ASSETS + TAKE AND HOLD,79.33,86.46,88,91.53,56.64,62.01,84.13,42.22,medium,1,11,6
Dark Angels,91,combination,DARK AGE ARSENAL + LION’S BLADE TASK FORCE,Dark Angels + Dark Angels,3,Dark Angels,PRIORITY ASSETS + PURGE THE FOE,79.32,86.48,88.12,94.53,47.99,69.22,91.27,40.16,low,1,10,6
Dark Angels,92,combination,FULGURIS TASK FORCE + VANGUARD SPEARHEAD,Dark Angels + Dark Angels,3,,RECONNAISSANCE,79.3,89.41,88.01,94.53,63.08,33.34,91.27,29.55,low,0,10,7
Dark Angels,93,combination,FULGURIS TASK FORCE + SUBVERSION ASSETS,Dark Angels + Dark Angels,2,,DISRUPTION + RECONNAISSANCE,79.04,88.25,87.19,90.03,72.57,30.43,80.56,35,low,0,7,5
Dark Angels,94,combination,DARKFLIGHT PURSUIT + SUBVERSION ASSETS + VENGEFUL HOSTS,Dark Angels + Dark Angels + Dark Angels,3,Dark Angels,DISRUPTION + RECONNAISSANCE + TAKE AND HOLD,79.03,90.34,89.39,79.53,65.11,60.16,73.46,43.33,medium,0,13,5
